"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v70029202","1.4.9","9363","","","","0"
"2016","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v70029202","1.4.9","10632","","","","0"
"2017","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v70029202","1.4.9","10859","","","","0"
"2018","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v70029202","1.4.9","10853","","","","0"
"2019","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v70029202","1.4.9","10866","","","","0"
"2009","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1672","","","","0"
"2010","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1946","","","","0"
"2011","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1720","","","","0"
"2012","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1723","","","","0"
"2013","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1460","","","","0"
"2014","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1145","","","","0"
"2015","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1235","","","","0"
"2016","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1358","","","","0"
"2017","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1307","","","","0"
"2018","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1281","","","","0"
"2019","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v70029204","1.4.11","1263","","","","0"
"2009","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1761","","","","0"
"2010","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1693","","","","0"
"2011","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1420","","","","0"
"2012","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1356","","","","0"
