"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v68753452","1.4.9","46375","","","","0"
"2017","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v68753452","1.4.9","47869","","","","0"
"2018","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v68753452","1.4.9","51040","","","","0"
"2019","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v68753452","1.4.9","52785","","","","0"
"2009","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","9228","","","","0"
"2010","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","8288","","","","0"
"2011","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","7952","","","","0"
"2012","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","7036","","","","0"
"2013","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","5930","","","","0"
"2014","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","5356","","","","0"
"2015","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","4967","","","","0"
"2016","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","5489","","","","0"
"2017","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","5894","","","","0"
"2018","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","5598","","","","0"
"2019","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v68753454","1.4.11","5772","","","","0"
"2009","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","7533","","","","0"
"2010","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","7546","","","","0"
"2011","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","7121","","","","0"
"2012","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","6501","","","","0"
"2013","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","5381","","","","0"
"2014","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","4471","","","","0"
"2015","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","4629","","","","0"
"2016","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","4792","","","","0"
"2017","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","5363","","","","0"
"2018","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","5079","","","","0"
"2019","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v68753456","1.4.13","4841","","","","0"
"2009","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","415051","","","","0"
"2010","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","389783","","","","0"
"2011","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","366015","","","","0"
"2012","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","354549","","","","0"
"2013","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","319538","","","","0"
"2014","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","310639","","","","0"
"2015","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","313890","","","","0"
"2016","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","321153","","","","0"
"2017","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","341629","","","","0"
"2018","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","376324","","","","0"
"2019","Ontario [35]","2016A000235","Total property crime violations [200]","Actual incidents","Number","223","units","0","v68754270","1.64.1","387568","","","","0"
"2011","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","","..","","","0"
"2012","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","","..","","","0"
"2013","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","","..","","","0"
"2014","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","","..","","","0"
"2015","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","","..","","","0"
"2016","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","","..","","","0"
"2017","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","15907","","","","0"
"2018","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","14242","","","","0"
"2019","Ontario [35]","2016A000235","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000179438","1.64.15","13294","","","","0"
"2009","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","97882","","","","0"
"2010","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","94414","","","","0"
"2011","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","89336","","","","0"
"2012","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","87493","","","","0"
"2013","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","81709","","","","0"
"2014","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","79347","","","","0"
"2015","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","79638","","","","0"
"2016","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","74275","","","","0"
"2017","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","77739","","","","0"
"2018","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","79928","","","","0"
"2019","Ontario [35]","2016A000235","Total property crime violations [200]","Total cleared","Number","223","units","0","v68754273","1.64.4","81364","","","","0"
"2009","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","47554","","","","0"
"2010","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","46181","","","","0"
"2011","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","43960","","","","0"
"2012","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","43409","","","","0"
"2013","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","42419","","","","0"
"2014","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","41368","","","","0"
"2015","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","40321","","","","0"
"2016","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","36606","","","","0"
"2017","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","38065","","","","0"
"2018","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","40748","","","","0"
"2019","Ontario [35]","2016A000235","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v68754278","1.64.9","43916","","","","0"
"2009","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","10438","","","","0"
"2010","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","8866","","","","0"
"2011","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","7697","","","","0"
"2012","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","6624","","","","0"
"2013","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","5222","","","","0"
"2014","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","4761","","","","0"
"2015","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","4502","","","","0"
"2016","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","3749","","","","0"
"2017","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","3646","","","","0"
"2018","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","3244","","","","0"
"2019","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v68754280","1.64.11","2695","","","","0"
"2009","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","19091","","","","0"
"2010","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","16773","","","","0"
"2011","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","14244","","","","0"
"2012","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","13090","","","","0"
"2013","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","10227","","","","0"
"2014","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","10144","","","","0"
"2015","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","9976","","","","0"
"2016","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","9513","","","","0"
"2017","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","9673","","","","0"
"2018","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","7915","","","","0"
"2019","Ontario [35]","2016A000235","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v68754282","1.64.13","7452","","","","0"
"2009","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","69349","","","","0"
"2010","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","71048","","","","0"
"2011","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","67780","","","","0"
"2012","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","66999","","","","0"
"2013","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","65627","","","","0"
"2014","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","65158","","","","0"
"2015","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","67166","","","","0"
"2016","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","75195","","","","0"
"2017","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","80448","","","","0"
"2018","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","85385","","","","0"
"2019","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v68756468","1.225.1","89721","","","","0"
"2011","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","","..","","","0"
"2012","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","","..","","","0"
"2013","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","","..","","","0"
"2014","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","","..","","","0"
"2015","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","","..","","","0"
"2016","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","","..","","","0"
"2017","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","5768","","","","0"
"2018","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","4629","","","","0"
"2019","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000179752","1.225.15","3875","","","","0"
"2009","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","60562","","","","0"
"2010","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","62232","","","","0"
"2011","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","58600","","","","0"
"2012","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","57886","","","","0"
"2013","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","57316","","","","0"
"2014","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","56774","","","","0"
"2015","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","58867","","","","0"
"2016","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","66146","","","","0"
"2017","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","70564","","","","0"
"2018","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","74983","","","","0"
"2019","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v68756471","1.225.4","76726","","","","0"
"2009","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","44200","","","","0"
"2010","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","45191","","","","0"
"2011","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","42788","","","","0"
"2012","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","42852","","","","0"
"2013","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","42358","","","","0"
"2014","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","42856","","","","0"
"2015","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","44756","","","","0"
"2016","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","52182","","","","0"
"2017","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","56296","","","","0"
"2018","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","62259","","","","0"
"2019","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v68756476","1.225.9","62559","","","","0"
"2009","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","6506","","","","0"
"2010","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","5926","","","","0"
"2011","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","5098","","","","0"
"2012","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","4686","","","","0"
